Title,Company,URL
Data Platform Developer,Michael Page,https://www.tecnoempleo.com/data-platform-developer-michael-page/azure-power-bi-data-bricks-salesforce/rf-508c1959d2c97319ec40
Ingeniero líder software de datos,EPAM,https://www.tecnoempleo.com/ingeniero-lider-software-datos-epam/aws-databricks-kubernetes-spark-airflo/rf-1d181674221103ab1741
Data Engineer / BI,PSS,https://www.tecnoempleo.com/data-engineer-bi-pss/sql-azure-api-data-cloud-etl-rest/rf-586b12bdf290a3a87c44
Data Engineer Senior,Page Personnel,https://www.tecnoempleo.com/data-engineer-senior-page-personnel/sql-data/rf-ea78185922c94321d440
Data Engineer with Snowflake,DAC.digital,https://www.tecnoempleo.com/data-engineer-with-snowflake-dacdigital/snowflake-git-agile-data-managemen/rf-dd0a133a32934329774c
Business Analyst - ETF & Credit Trading,Axiom Software Solutions,https://www.tecnoempleo.com/business-analyst-etf-credit-trading-axiom-software/agile-data-lean-testing/rf-d82a166ce26953743d46
Operador/a Sistemas 24x7,Digital Talent Agency,https://www.tecnoempleo.com/operador-sistemas-24x7-digital-talent-agency/linux-data-vmware-cloud-rest-/rf-ba351ea532fb63a4a04b
Programador Big Data. Teletrabajo,Second Window,https://www.tecnoempleo.com/programador-big-data-teletrabajo-second-window/spark-python-sql-ci-cd-powe/rf-054d17b2d2dbe398984d
Cloud Solution Architect,Axiom Software Solutions,https://www.tecnoempleo.com/cloud-solution-architect-axiom-software-solutions/sql-jira-agile-data-scru/rf-1e241ca7e255a37f5742
Data Engineer,Inkoova,https://www.tecnoempleo.com/data-engineer-inkoova/azure-data-power-bi-lan-ios-microsoft-bigquery-azure/rf-4e031ace8257039d9f49
Data & AI Strategy Consultant,Accenture,https://www.tecnoempleo.com/data-ai-strategy-consultant-barcelona/data/rf-af1b130d12455346384e
Data governance / Data quality consultant,Krell Consulting & Training,https://www.tecnoempleo.com/data-governance-data-quality-consultant-krell-cons/data-sql/rf-147d10c37218e34c8145
Database Engineer,BASF,https://www.tecnoempleo.com/database-engineer-basf/postgresql-databricks/rf-3bac1080a2449342b94e
Data Governance,Grupo NS,https://www.tecnoempleo.com/data-governance-grupo-ns/azure-data-databrick-collibra-data-unity-catalog/rf-14fa13a8c23703ff2945
Big Data Software Engineer,Webfleet,https://www.tecnoempleo.com/big-data-software-engineer-webfleet/databricks-spark-python-java/rf-b49f14bed28023a24a4a
Ingeniero líder software de datos,EPAM,https://www.tecnoempleo.com/ingeniero-lider-software-datos-madrid/aws-databricks-kubernetes-spark-airf/rf-312314b4b2f933ca3e41
Senior Production Support,Axiom Software Solutions,https://www.tecnoempleo.com/senior-production-support-axiom-software-solutions/java-sql-jira-data-agil/rf-a53d1b0e022ce3b17c40
Analista Cloudera,Arelance,https://www.tecnoempleo.com/analista-cloudera-arelance/cloudera-data-spark-cloud-big-data-hive-big-dat/rf-2f2f19688241e341c24f
Leader Plataforma Gobierno IT,Krell Consulting & Training,https://www.tecnoempleo.com/leader-plataforma-gobierno-it-krell-consulting-tra/axon-enterprise-data-ca/rf-3f5219f582708324ac46
Technical analyst,Cerebral Works,https://www.tecnoempleo.com/technical-analyst-cerebral-works/git-api-data-cloud-salesforce-azure-datab/rf-ac301682527ee3aebb4d
Data Engineer - Big Data,Akkodis,https://www.tecnoempleo.com/data-engineer-big-data-akkodis/databricks-spark-scala/rf-cb90142e227e3389d748
Data Scientist,Axiom Software Solutions,https://www.tecnoempleo.com/data-scientist-axiom-software-solutions/data-llm/rf-9a341f910269e3b5b34a
Enterprise Architect Data,Accenture,https://www.tecnoempleo.com/enterprise-architect-data-barcelona/data/rf-2be910c8b2f9232aea42
Expert Data Scientist,Nestle,https://www.tecnoempleo.com/expert-data-scientist-nestle/data-analytics/rf-ada210bf5230a395a84f
Consultor/a preventa TELECOM AAPP,Krell Consulting & Training,https://www.tecnoempleo.com/consultor-preventa-telecom-aapp-krell-consulting-t/redes-vpn-internet-data/rf-32e118c31236e344fb42
DBA,TRS Staffing Solutions,https://www.tecnoempleo.com/dba-trs-staffing-solutions/oracle-sql-server-mysql-java-python-sql-aws-azu/rf-774910b9a2a5e3cf864e
Senior Azure Data Engineer,Cognizant Technology Solutions,https://www.tecnoempleo.com/senior-azure-data-engineer-cognizant-technology-so/azure-databricks-synaps/rf-75f215fa824fa30a364b
Data Manager- Fintech,Ebury,https://www.tecnoempleo.com/data-manager-fintech-ebury/data/rf-ad7c1d5a32d7d346ef40
BI Consultant/Engineer,Plexus,https://www.tecnoempleo.com/bi-consultant-engineer-plexus/bi-data/rf-a1e71b2cc245b3135345
Consultor PL/SQL (I&D),Capgemini,https://www.tecnoempleo.com/consultor-pl-sql-i-d-hibrido/sql-data-excel-pl-sql/rf-796a1828327703e15d4f
Data Scientist,CMV Consultores,https://www.tecnoempleo.com/data-scientist-cmv-consultores/python-aws-azure-data-scala-power-bi-ia-mac/rf-9c8c1761f27b63342449
Data Scientist,Michael Page,https://www.tecnoempleo.com/data-scientist-hibrido/data/rf-1f30101d02e233c55f4b
Data Product Manager,Ebury,https://www.tecnoempleo.com/data-product-manager-ebury/data-jira/rf-58f913b7a252a32d9c42
Teach Lead Data Integration,Aegon N.V.,https://www.tecnoempleo.com/teach-lead-data-integration-aegon-nv/phyton-spark-pyspark-data-bi/rf-b0881f3fb229a380b84e
Data Scientist / AI,Page Personnel,https://www.tecnoempleo.com/data-scientist-ai-page-personnel/ai-data-science/rf-187d168a52023395444f
PySpark Developer,Axiom Software Solutions,https://www.tecnoempleo.com/pyspark-developer-axiom-software-solutions/python-pyspark-sql-aws-azure-gi/rf-87d013a6a2a643f6ea40
Murex Datamart-BAU Support,Axiom Software Solutions,https://www.tecnoempleo.com/murex-datamart-bau-support-axiom-software-solution/murex-java-sql-aws-orac/rf-d9fd12a3b269d3b54c43
AI Engineer,Axiom Software Solutions,https://www.tecnoempleo.com/ai-engineer-axiom-software-solutions/python-aws-git-kubernetes-data-ci-cd-/rf-3c1f1d56a257d352b940
IT Sales Professionals,Accenture,https://www.tecnoempleo.com/it-sales-professionals-madrid/data-salesforce/rf-b2231de9820003a6614d
Data Product Manager,Ebury,https://www.tecnoempleo.com/data-product-manager-madrid/data-fx-jira/rf-b31d19cd2260d3f2e94f
Senior Data Engineer,EY,https://www.tecnoempleo.com/senior-data-engineer-ey/sql-databricks-synapse-spark-hadoop/rf-b82f1f66a2bfa3931949
Data Platform Architect,Plexus,https://www.tecnoempleo.com/data-platform-architect-plexus/aws-data/rf-31a4108582a5238efe44
Developer,Axiom Software Solutions,https://www.tecnoempleo.com/developer-axiom-software-solutions/sql-jira-data-scala-spark-pl-sql-testin/rf-616d1489a21b23c9a041
Data Center Manager,Amazon,https://www.tecnoempleo.com/data-center-manager-amazon/data-center/rf-53b4128f92f3d31e5041
Data Platform Architect,Plexus,https://www.tecnoempleo.com/data-platform-architect-plexus/aws-data/rf-551d1b09d258931d8541
Senior Specialist Data & AI,BASF,https://www.tecnoempleo.com/senior-specialist-data-ai-basf/data-ai/rf-65221149624613625042
Data Tranparency DevOps Engineer,BASF,https://www.tecnoempleo.com/data-tranparency-devops-engineer-basf/azure-data-factory-azure-data-flows-/rf-7df3142082f483bcc444
Senior Technical Consultant,Axiom Software Solutions,https://www.tecnoempleo.com/senior-technical-consultant-axiom-software-solutio/java-sql-python-git-dat/rf-bb901ba2b26833114c4f
Data Engineer - ETL,Michael Page,https://www.tecnoempleo.com/data-engineer-etl-michael-page/etl-data/rf-16431dcf6264a3c30f4f
Data Analyst/Engineer,Axiom Software Solutions,https://www.tecnoempleo.com/data-analyst-engineer-axiom-software-solutions/python-pyspark-databricks/rf-2f4c197a22e673c55445
Full Stack Developer (Node.js/Angular ),Grupo Sermicro,https://www.tecnoempleo.com/full-stack-developer-nodejs-angular-grupo-sermicro/node-aws-angular-api-da/rf-6bac1b0de2ca63e3a645
Cloud architect,Capgemini,https://www.tecnoempleo.com/cloud-architect-capgemini/sql-aws-azure-git-net-kubernetes-docker-data/rf-594f1912a2afd3c8e04a
Senior Data Center Manager,Oracle,https://www.tecnoempleo.com/senior-data-center-manager-oracle/data-center/rf-f2d0156d0246e354d64f
Data Lead,Green Eagle Solutions S.L.,https://www.tecnoempleo.com/data-lead-green-eagle-solutions-s-l/data-etl-sql/rf-bbe216581206c3aaeb4a
Master Data Management Business,Michael Page,https://www.tecnoempleo.com/master-data-management-business-michael-page/data-business-intelligence/rf-87b21db542b7b3308749
Medium QA Tester,Axiom Software Solutions,https://www.tecnoempleo.com/medium-qa-tester-axiom-software-solutions/java-python-sql-api-jira-agile-d/rf-a6e214ea8206e3c94646
Account Executive with Norwegian,Iron Mountain,https://www.tecnoempleo.com/account-executive-with-norwegian-iron-mountain/git-marketing-net-data-sale/rf-8ef61d15e2d53371224d
Data Platform Architect,Plexus,https://www.tecnoempleo.com/data-platform-architect-plexus/data/rf-09f412d7a204a39a9e48
Data Platform Strategy Manager,Accenture,https://www.tecnoempleo.com/data-platform-strategy-manager-accenture/snowflake-databricks-azure-aws/rf-6aa6121a42ba2313bc4f
Programa Step-up! Beca Analista de Datos,Aegon N.V.,https://www.tecnoempleo.com/programa-step-up-beca-analista-datos-aegon-nv/data/rf-a5011c6dd262c35d3145
Arquitecto Big Data,CMV Consultores,https://www.tecnoempleo.com/arquitecto-big-data-cmv-consultores/sql-aws-azure-data-cloud-excel-kafka-d/rf-8cba1ec8e29033a2a94f
C++ Software Engineer,Axiom Software Solutions,https://www.tecnoempleo.com/c-software-engineer-axiom-software-solutions/c-linux-windows-git-docker-da/rf-ba0712edb2efe390fb4c
Power Platform Developers,Axiom Software Solutions,https://www.tecnoempleo.com/power-platform-developers-axiom-software-solutions/sql-python-azure-oracle/rf-38db1c57821f0311d642
Programa Step Up! Beca Datos,Aegon N.V.,https://www.tecnoempleo.com/programa-step-up-beca-datos-aegon-nv/data/rf-c72718c6d28c939f1442
Gestor de Proyectos,Michael Page,https://www.tecnoempleo.com/gestor-proyectos-michael-page/data-power-bi-salesforce/rf-b42d1bf2d264132bca45
Data Analyst,Michael Page,https://www.tecnoempleo.com/data-analyst-hibrido/data-sql-power-bi/rf-faa610a2129ac358ad4d
Internship Programme: Operations Intern,Revolut,https://www.tecnoempleo.com/internship-programme-operations-intern-revolut/data-excel-sql/rf-0d3917e4c22003db974b
MLOps (GCP / IA),Second Window,https://www.tecnoempleo.com/mlops-gcp-ia-second-window/machine-learning-data-science-machine-learning-/rf-2b7f1daed209d3ba984f
Data Platform Engineer,Krell Consulting & Training,https://www.tecnoempleo.com/data-platform-engineer-remoto/data-apache-airflow-sql-bigquery/rf-72bf10a9b237931dc144
Solution Architect - PageGroup SSC,Michael Page,https://www.tecnoempleo.com/solution-architect-pagegroup-ssc-hibrido/data-salesforce/rf-5fcd1547622f1349b34c
Data Engineer,Krell Consulting & Training,https://www.tecnoempleo.com/data-engineer-remoto/data-snowflake-dbt-cloud-aws-datawarehouse-sql-nosql/rf-ee1a11d0623453a3bd41
